City,Lat,Temp,Humidity,Cloud,Wind
szubin,53.01,44.6,100,24,2.24
tonantins,-2.86,80.61,87,20,2.48
bonthe,7.53,77.64,98,44,2.53
freeport,26.54,77,88,75,1.12
davila,18.47,77,94,20,2.24
deep river,46.1,35.6,80,90,12.75
suao,,,,,
pangody,65.85,0.78,63,24,3.31
port hueneme,34.15,79.95,51,40,5.82
howard springs,-12.5,86,70,40,3.36
monkey bay,-14.08,80.88,88,88,14.9
saleaula,,,,,
vostok,46.45,32.69,89,88,3.38
angoche,-16.23,77.37,100,92,17.85
saa,7.32,72.06,86,76,3.53
touros,-5.2,79.44,86,100,15.28
yumaguzino,52.9,26.07,94,88,4.09
praia da vitoria,38.73,66.2,82,20,20.54
waddan,29.16,57.3,62,0,6.11
solnechnyy,50.72,22.47,59,32,4.88
port lincoln,-34.72,64.14,84,64,4.54
norman wells,65.28,8.6,84,20,6.93
egvekinot,66.32,26.84,90,68,4.99
berlevag,70.86,36.56,100,92,4.72
pemangkat,,,,,
koutiala,12.39,75.26,71,0,8.75
kloulklubed,7.04,82.4,83,75,4.7
oussouye,12.49,79.68,83,0,2.24
praya,-8.71,77,94,75,2.24
kununurra,-15.77,84.2,70,32,3.36
nouadhibou,20.93,66.2,88,36,11.41
masjed-e soleyman,,,,,
ponta delgada,37.73,64.4,77,20,4.7
nacala,-14.56,77.06,93,36,12.59
kovernino,57.13,42.36,98,92,9.35
shizuishan,39.02,19.73,79,68,2.08
aklavik,68.22,5.77,84,20,3.36
isangel,-19.55,75.66,100,76,17.58
verkhniy naur,43.61,34.13,91,0,2.26
zimovniki,47.15,39.44,93,0,8.79
corner brook,48.95,48.7,100,90,10.29
fortuna,38.18,50,87,0,5.82
tungkang,,,,,
majalgaon,19.16,68.91,97,88,3.27
suixi,33.92,55.41,89,76,4.05
bodden town,19.28,84.2,74,20,11.41
fairbanks,64.84,14.52,77,1,3.38
turayf,31.68,55.4,100,75,4.7
warragul,-38.16,61.8,68,32,6.29
gwadar,25.12,69.63,71,20,21.94
alipur duar,,,,,
moche,-8.17,66.2,88,20,10.29
tambura,,,,,
north bend,43.41,55.04,89,1,4.7
hovd,63.83,46.4,81,75,12.75
atar,20.52,58.56,67,24,4.05
villacarrillo,38.12,32.51,86,0,3.04
tilichiki,60.47,15.68,93,64,3.71
terrasini,38.15,60.8,82,20,4.7
morgantown,39.63,43,86,1,4.7
clyde river,70.47,8.6,84,90,6.93
itarema,-2.92,78.68,81,0,15.17
ilulissat,69.22,17.6,72,80,18.34
norsup,-16.07,81.33,75,20,13.33
perth,56.4,53.67,100,75,9.17
igarka,67.47,1.01,82,68,9.08
yatou,3.63,75.2,100,40,2.24
vila franca do campo,37.72,64.4,77,20,4.7
tatawin,,,,,
valparaiso,41.47,47.1,61,90,10.29
avanashi,,,,,
pandoh,31.67,41.82,93,92,1.86
coquimbo,-29.95,57.2,82,20,6.93
laela,-8.57,62.25,77,48,5.84
san quintin,17.54,77,94,20,2.24
dundee,56.46,53.82,100,75,9.17
kamenskoye,,,,,
shizunai,42.33,49.16,98,76,4.21
majene,-3.54,80.79,100,44,6.85
batagay,67.65,-16.05,46,68,3.04
broken hill,-31.97,76.88,43,44,8.08
cherskiy,68.75,-7.73,78,24,2.86
buraydah,26.33,60.8,100,40,8.05
shimoda,34.7,56.46,100,75,2.24
taltal,-25.41,60.41,83,0,2.3
lata,30.78,38.85,100,32,1.81
el tocuyo,9.79,77,73,40,6.93
alta floresta,-9.87,75.3,97,0,1.97
malm,64.07,46.4,81,75,12.75
turukhansk,65.8,2.22,77,76,5.5
yerbogachen,61.28,21.3,80,76,8.01
bandarbeyla,9.49,79.13,100,92,14.83
vista hermosa,17.8,66.66,64,88,4.21
limoges,45.84,44.6,87,88,2.24
manzil tamim,,,,,
praia,-20.25,75.06,53,0,4.7
jian,25.65,70.04,85,36,7.29
qaqortoq,60.72,23,41,0,4.7
nakusp,50.24,35.7,91,88,1.59
mwinilunga,-11.73,65.31,92,80,3.98
cap malheureux,-19.98,71.6,83,20,3.36
beipiao,41.8,34.49,73,92,13.44
manggar,-2.88,77.55,100,32,4.21
tieli,46.98,26.93,56,56,7.78
zhangjiakou,40.77,31.88,86,92,8.75
chermoz,58.79,34.08,97,92,14.67
sampit,-2.54,76.43,97,20,5.32
gizo,31.8,62.6,51,0,2.24
qingdao,36.09,48.2,100,0,2.24
santa maria del oro,25.95,66.48,25,0,2.26
mount isa,-20.73,93.2,20,0,11.41
kita,35.76,58.62,67,90,3.36
piacenza,45.05,55.87,100,40,1.12
buchanan,5.88,78.8,94,75,7.23
ranghulu,46.63,27.56,52,48,7.9
churapcha,62,10.86,64,56,10.09
ialibu,-6.28,68,77,40,4.7
lerwick,60.15,52.7,87,92,24.16
akdepe,42.05,28.4,63,0,2.82
okha,53.59,30.12,84,80,22.21
pipri,24.21,67.92,87,0,2.48
sao jose da coroa grande,-8.9,77.19,84,76,7.23
tecoanapa,16.99,84.2,79,40,6.93
luanda,-8.83,77,83,75,4.7
vyazemskiy,47.53,29.09,51,12,7
rawson,-43.3,68.78,33,0,16.84
goderich,43.74,41.19,86,92,12.59
taoudenni,22.68,60.59,35,0,11.25
isla mujeres,21.23,78.8,88,75,2.24
abashiri,44.01,42.8,64,0,6.93
thinadhoo,0.53,81.78,100,88,4.09
picos,-7.08,92.22,28,92,6.33
marystown,47.17,56.09,89,92,22.39
dolbeau,,,,,
kabanjahe,3.1,63.74,99,8,1.81
saint-augustin,44.83,39.85,93,56,3.36
hun,50.34,37.38,86,0,4.7
gigmoto,13.78,81.51,100,20,11.1
fort nelson,58.81,19.4,85,90,3.36
pamplona,42.82,38.71,93,0,1.12
la paz,24.15,84.2,28,5,11.41
talara,-4.58,72.78,71,32,11.25
vale,41.62,20.81,75,0,2.3
portland,45.52,56.97,74,90,6.93
tasbuget,,,,,
seoul,37.57,43.74,93,75,2.24
dwarka,28.58,68,64,20,5.82
urusha,54.05,4.2,77,0,2.53
merauke,-8.49,88.58,69,12,11.81
nechanice,50.24,50,93,90,3.36
oyama,36.31,53.6,87,75,3.36
cairns,-16.92,84.2,62,40,9.17
lodja,-3.52,67.92,100,92,4.05
kodinsk,58.6,27.6,71,80,9.01
tiarei,-17.53,86,66,20,17.22
wakkanai,45.41,57.2,76,20,16.11
yinchuan,38.48,29.94,79,92,2.53
sorland,67.67,47.49,100,92,34.54
chabahar,25.29,72.96,100,36,20.04
at-bashi,41.17,6.09,74,36,1.3
sitka,37.17,57.75,49,68,17.69
san cristobal,-0.39,60.8,63,75,8.05
baiyin,36.55,26.6,100,75,4.47
shingu,33.72,60.8,72,75,4.7
ust-nera,64.57,-10.92,64,24,2.37
cody,44.53,42.08,62,20,3.36
jalu,29.03,55.73,75,0,2.86
paita,-5.09,72.78,71,32,11.25
mount gambier,-37.83,60.18,78,92,6.73
ballina,54.11,49.2,95,80,22.84
sal rei,16.18,75.2,73,75,13.87
miyang,24.4,46.73,84,0,5.61
rudbar,,,,,
husainabad,24.53,65.09,88,0,2.59
oeiras,-7.01,90.06,33,92,5.28
manyana,-35.26,71.6,49,12,8.05
derzhavinsk,51.1,28.77,94,80,4.61
flinders,-34.58,71.6,49,48,8.05
chumikan,54.72,21.66,94,0,14.83
ambanja,-13.68,68.28,98,36,2.26
ovalle,-30.6,60.81,75,0,2.98
phuthaditjhaba,-28.53,33.36,69,8,1.86
asfi,,,,,
spas-klepiki,55.13,45.42,97,92,12.55
telsiai,55.98,32.82,91,24,2.86
sarangani,5.4,81.29,100,68,5.39
zhovtneve,,,,,
saint paul,44.95,43.65,56,90,6.93
price,39.6,48.02,31,1,16.11
badarwas,24.97,68.1,68,0,3.09
obo,5.39,69.09,96,80,4.54
port moresby,-9.47,86,70,40,4.7
chapais,49.78,32,91,90,13.87
yaan,7.38,73.77,92,56,8.08
dunedin,-45.87,47.81,71,76,20.2
kutum,14.2,60.09,36,0,7.78
cooma,-36.24,65.63,65,8,4.32
samarai,-10.62,79.26,100,76,12.1
ashtian,34.52,31.88,79,8,3.27
saurimo,-9.66,64.73,98,32,1.86
vredendal,-31.68,58.11,84,36,6.33
luebo,-5.35,67.88,100,92,2.3
miasskoye,55.28,35.6,74,75,13.42
la ronge,55.1,32,87,90,13.87
umm kaddadah,13.6,67.16,30,0,11.14
ruatoria,,,,,
bandar-e lengeh,26.56,79.98,100,68,13.44
xinzhi,22.54,75.15,88,40,4.7
port augusta,-32.49,73.4,46,80,6.93
okhotsk,59.36,16.44,100,0,18.14
manitouwadge,49.12,31.43,82,68,5.61
poum,41.28,39.71,86,20,1.81
havoysund,71,37.4,86,40,9.17
katima mulilo,-17.5,72.29,65,64,8.63
hobyo,5.35,75.39,92,0,7.07
balaka,-14.99,64.28,92,76,6.06
maroantsetra,-15.43,70.35,100,44,2.08
kahului,20.89,81.52,61,40,16.11
sibu,2.29,75.2,100,90,3.71
dariba,24.95,62.93,58,0,7.11
khandyga,62.65,6.81,85,0,7.63
qianan,44.99,36.83,58,68,12.93
ambo,8.98,50.1,65,48,1.81
arcachon,44.65,40.24,93,24,6.4
kysyl-syr,63.9,8.25,73,64,6.11
marawi,8,74.13,100,36,2.48
kuna,43.49,56.07,43,1,4.7
medea,36.27,55.4,93,40,4.7
harda,22.34,67.83,75,0,1.03
ahipara,-35.17,64.46,75,0,18.07
banda aceh,5.56,75.44,100,48,2.71
alta gracia,-31.66,69.8,73,20,8.57
banposh,22.25,72.78,79,48,1.86
benguela,-12.58,74.36,100,48,6.73
hualmay,-11.1,66.75,73,36,5.21
leh,34.16,5.1,80,76,0.81
aksarka,66.56,13.47,76,56,5.77
san jose,15.79,75.93,96,56,2.71
fereydun kenar,36.69,47.04,100,36,2.86
milkovo,41.53,49.06,87,12,2.24
thatcham,51.4,48.74,76,90,11.41
senanga,-16.1,68.01,81,80,11.59
richards bay,-28.77,62.39,81,0,13.15
lichinga,-13.3,69.8,60,0,12.75
nandgaon,20.31,71.61,80,32,7.85
wadi maliz,36.47,57.2,87,92,9.17
seybaplaya,19.65,78.8,83,40,5.82
tombouctou,16.77,77.01,32,0,10.8
barbar,,,,,
yanacancha,-10.53,43.49,100,88,2.53
yudong,35.16,50,76,0,3.36
puerto ayacucho,5.66,86,70,20,2.3
tornio,61.12,36.18,93,75,8.05
melita,49.27,34.44,79,88,2.82
nagornskiy,58.77,33,97,92,12.33
sao joao da barra,-21.64,77,83,0,9.17
maceio,-9.67,77,78,20,8.05
la brea,10.24,80.6,83,20,4.7
madang,-5.21,82.64,87,8,2.98
sulangan,11.14,81.83,100,76,16.46
borba,38.81,42.27,83,0,2.98
waingapu,-9.65,81.6,85,20,4.76
zyryanka,65.73,1.41,70,92,9.64
livingston,32.58,66.02,58,1,5.82
wahran,,,,,
adrar,27.87,62.6,39,0,9.17
puerto del rosario,28.5,69.8,68,90,13.87
punta alta,-27.46,69.8,94,0,3.36
maltahohe,-24.83,59.78,38,12,10.13
avera,33.19,54.14,86,1,3.53
altay,47.83,-1.74,67,48,2.04
port hedland,-20.31,87.8,40,0,10.29
louisbourg,,,,,
cerqueira cesar,-23.04,69.63,89,56,2.71
nagua,19.37,77,88,20,11.41
margate,-43.03,57.2,54,75,13.87
iseyin,7.97,74.76,93,20,5.32
krasnoborsk,61.56,39.93,98,88,5.77
nemuro,43.32,53.6,62,20,4.7
along,28.17,55.86,99,92,1.7
baturaja,-4.12,75.57,87,56,4.5
la palma,5.36,68.64,92,48,1.97
cortez,37.35,53.96,20,1,11.41
kunashak,55.7,35.6,74,75,13.42
mweka,-4.85,68.06,99,92,3.04
muisne,0.61,77.91,74,32,4.99
iberia,-11.41,89.43,47,56,2.59
wuwei,37.93,24.18,90,88,2.04
tigil,57.8,34.08,86,0,11.1
butembo,0.12,58.65,100,48,1.81
beswan,27.65,72.83,46,0,7.56
ishigaki,24.34,77,88,75,13.87
lolua,,,,,
amapa,15.09,84.2,74,75,13.87
mnogovershinnyy,53.94,24.72,60,56,10.65
yumen,40.29,17.61,70,32,2.75
cochrane,-47.25,46.19,55,80,6.4
colares,38.8,55.4,87,40,4.7
general roca,-39.03,69.8,49,0,2.24
sikonge,-5.63,69.8,77,0,2.3
tsaratanana,-16.8,65.99,95,0,2.59
whitehorse,60.72,15.8,78,90,5.82
mizpe ramon,,,,,
tanete,-3.94,76.79,94,68,3.98
gurskoye,,,,,
springbok,-29.67,50.82,77,0,9.91
stavern,59,49.17,93,92,16.11
barkot,30.81,45.69,100,56,1.74
williston,48.15,35.55,85,90,4.7
noumea,-22.28,82.4,39,20,10.29
tula de allende,20.05,49.83,100,92,0.81
katobu,-4.94,83.4,94,36,2.59
raudeberg,61.99,51.8,81,92,32.21
marcona,,,,,
bardiyah,,,,,
bathsheba,13.22,80.6,78,20,11.41
hit,33.64,60.45,87,92,6.78
grand centre,,,,,
cozumel,,,,,
port blair,11.67,83.67,100,0,13.94
alpena,45.06,35.44,70,75,3.36
bokspits,,,,,
cerfontaine,50.26,36.79,86,0,4.7
bunia,1.56,64.5,99,56,1.03
chernogorsk,53.83,28.4,68,0,13.42
namanyere,-7.51,57.75,90,48,2.86
mount pleasant,33.16,66.74,57,1,10.29
tirumullaivasal,11.24,82.01,83,64,7.74
west bay,50.71,55.4,76,88,11.41
zunyi,27.73,58.92,60,80,3.2
calamar,1.96,79.71,70,0,4.27
stonewall,50.13,33.8,69,75,10.29
puri,-7.54,74.81,81,48,4.88
santa maria da vitoria,-13.39,73.73,78,32,4.72
necochea,-38.55,58.47,79,0,6.06
hofn,64.25,38.31,100,92,27.76
kilindoni,-7.91,79.17,100,80,9.42
boden,65.83,28.4,100,20,2.24
yuancheng,,,,,
porto novo,-23.68,73.4,69,75,1.12
baraboo,43.47,42.58,63,90,8.05
dongsheng,29.72,53.97,82,0,2.82
inuvik,68.36,4.42,78,20,5.5
ayr,55.46,55.4,87,75,16.11
da nang,,,,,
ulukulevo,54.43,37.4,95,90,13.42
utiroa,,,,,
vakhrushi,57.97,36.87,97,92,14.05
anadyr,64.73,26.6,79,75,4.47
placido de castro,-10.34,87.9,54,32,3.87
itoman,26.12,76.82,88,75,12.75
atikokan,48.76,29.13,93,8,3.2
coimbra,40.21,55.4,87,90,3.36
hamilton,43.26,40.32,80,20,6.93
korla,,,,,
alamogordo,32.9,66.2,11,1,12.75
aasiaat,68.71,24.23,100,44,9.53
atbasar,51.81,28.64,91,80,3.2
lavrentiya,65.58,36.29,100,56,8.01
paradwip,,,,,
bubaque,11.28,80.6,83,0,4.7
oudtshoorn,-33.59,69.8,35,92,6.93
jaguariaiva,-24.25,69.59,86,68,15.57
abha,18.22,56.35,87,20,1.36
zwedru,6.07,72.56,98,100,3.87
aljezur,37.31,59.78,100,0,10.65
xining,36.62,20.94,87,68,2.71
aflu,,,,,
tazovskiy,67.47,14.46,84,32,10.76
el tigre,8.89,77.82,80,56,9.01
felipe carrillo puerto,19.58,78.68,84,88,5.73
tucuman,-17.17,57.71,66,0,0.69
makat,47.65,21.08,65,0,2.82
ca mau,9.18,81.06,93,88,10.8
nachingwea,-10.37,70.58,85,0,3.53
kulhudhuffushi,6.62,83.31,100,36,4.21
sao gabriel da cachoeira,-0.13,78.27,90,36,2.08
sirnach,47.46,46.49,100,32,2.24
darhan,49.49,7.13,63,0,6.51
clonakilty,51.62,50,93,75,12.75
amethi,26.76,69.8,77,32,3.36
katangli,51.71,31.02,100,0,22.1
bikaner,28.02,53.52,87,0,6.78
